title,description,creator,date,subject,source,orig-id,rights,type,format,object-id
The Living Among The Dead,"Typescript of an article discussing the nature of the infallibility of all orthodox religions. Robinson argues if they all claim to be right, then they may all be false. Robinson uses a biblical quote--'Why seek ye the living among the dead?'--to claim these religions believe in 'dead gods,' particularly those that are crucified.","Robinson, Frank B.",1939-03-15,Crucified God; Bible Criticism; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,10
Surrounded by God,"Typescript of an article begins with the example of goldfish swimming in water, which allows them to live. Robinson uses this as a metaphor for the Spirit of God around us and goes on to explain how this power works on earth.","Robinson, Frank B.",1939-04-12,Spirit of God; God on Earth,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,11
"The Pioneer, Chapter 1","The title for this 20 page typescript is taken from the first sentence in which Robinson states that man has a desire to pioneer into the unknowable Realm of God. It is a restatement of his belief in the God-Power, comparing contacting the 'Power' to the use of electricity in the home: flip the switch and it's there. This typescript also contains a reference to the Spirit of God as the 'Flame'","Robinson, Frank B.",1937,Spirit of God; God-Power,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f17_a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,12
Getting Used to God,"Typescript of an article discussing the difference, according to Robinson, between recognizing the Spirit of God and the ability to use it in order to draw on its power. Robinson then digresses, admittedly, to claim that Psychiana grows as it refutes other religions' doctrines that believers live apart from God.' [1 of 49 lead articles apparently written for publication in Psychiana Weekly]","Robinson, Frank B.",1939-04-19,Spirit of God; Psychiana Growth; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_016,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,13
The Secret,"Typescript of an article begins with Robinson reporting criticisms of Psychiana, and refutes the validity of other religions based on the grounds of the 'crucified god' or dead god, as he calls it. Robinson uses a quote from Henry Ward Beecher, a minister, about connecting with the Spirit of God, as Psychiana teaches.","Robinson, Frank B.",1939-04-26,Crucified God; Henry Ward Beecher; Spirit of God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_017,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,14
The Urge of the New,"Typescript of an article in which Robinson details his prophesy of a time when no churches will exist in the world, but the world will be more 'Godly' than ever. Robinson calls this the Day of God and discusses what this day will be like.","Robinson, Frank B.",1939-05-03,Day of God; Church in Decline; Psychiana Prophecies,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_018,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,15
In the Public Interest,Typescript of an article discussing the resistance churches and orthodox religions will have to the teachings of Psychiana. Robinson regards Psychiana as his 'great responsibility' and expresses his fear that the 'world of religion' will oppose him in his teachings.,"Robinson, Frank B.",1939-07-20,Religious Resistance; Psychiana Criticism; God-Power,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,16
Keep Your Eyes Open,Typescript of an article responding to three other articles reporting on a reformation within the Catholic Church in America. Robinson uses these articles to discuss falsities he finds in Catholicism and accuses it of being 'the greatest system of  paganism and idolatry in the world today.',"Robinson, Frank B.",1939-08-10,Catholicism; Crucified God; Jesus Christ; Paganism; Idolatry,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_020,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,17
Losing Ones Faith,"Typescript of an article beginning with a quote from a woman who's husband has read many Psychiana lessons, but abandons them as they conflict with his Catholic faith. Robinson uses this to prompt a discussion in which he defines Psychiana as not a 'faith' but an 'experience.'","Robinson, Frank B.",1939-08-10,Losing Faith; Psychiana Lessons; Catholicism,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,18
Wise Virgins,"Typescript of an and article beginning with Robinson's prophecy that 1940 is going to be a calamitous and bloody year. He also asserts that people must be thinking more about the Spirit of God in the face of such calamity, and goes on to explain the steps to become a Psychiana member.","Robinson, Frank B.",1939-08-17,World War; Psychiana Membership; Spirit of God; Psychiana Prophecies,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,19
Practical Power,"Typescript of an article begins with a letter from a Baptist minister inquiring the difference between God in orthodox religion and God in Psychiana. Robinson responds with a discussion of the importance of how one preaches about God, rather than any difference between Gods. Robinson emphasizes how he preaches about God as a 'living spirit' on earth.","Robinson, Frank B.",1939-08-17,Crucified God; God on Earth; Preaching,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,20
Cessat Superstition,"Typescript of an article beginning with Robinson discussing resistance from other religions, in the form of signs, during his convention in Los Angeles. Robinson equates this 'madness' with Hitler and Stalin, and uses this as an example of the necessity of Psychiana to save the population.","Robinson, Frank B.",1939-03-22,World War II; Los Angeles; Religious Resistance,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,21
Good News,"Typescript of an article begins with a report that Psychiana headquarters continues to receive testimonials, but reminds followers that the battle with orthodox religion continues. Robinson discusses tools against orthodox religious systems, including public opinion.","Robinson, Frank B.",1939-08-24,Testimonials; Psychiana Growth; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_024,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,22
The American Spiritual Awakening,"Typescripts, both original and carbon, of Robinson's speeches on September 22 (9 pages), September 24 (7 pages), and October 12 (9 pages) during the American Spiritual Awakening, launched in Los Angeles and hosting meetings between Robinson and Ernest Holmes, Dean of the Institute of Religious Science and Philosophy.","Robinson, Frank B.",1941-09-21,Los Angeles; Ernest Holmes,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f18,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,23
Consecration,"Typescript of an article indicting religious leaders. Robinson claims leaders and members of the church blaspheme against God by 'drinking whiskey, smoking cigarettes, and carousing around with women.' Robinson also equates this with the horrors in Europe.","Robinson, Frank B.",1939-08-31,World War; Religious Leaders; Blasphemy; Church in Decline,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_025,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,24
The Mysterious,Typescript of an article that begins with descriptions of Psychiana from two reporters--one calling Psychiana 'mysterious' and the other calling Psychiana 'simple.' Robinson asserts that beliefs in other religions come from many sources and discusses how Psychiana operates and is very simple in its way.,"Robinson, Frank B.",1939-08-31,Finances; Simplicity; Origin of Religion,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_026,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,25
The All Sufficient Deity,"Typescript of an article in which Robinson compares the God of orthodox religion with the God of Psychiana. Robinson refutes that God messed up when creating a race he had to save. He calls this illogical. Instead, he puts his stake in a God that is a power, force, or order he calls the God-Spirit bringing man to a state of 'God-Perfection.'","Robinson, Frank B.",1939-09-07,Spirit of God; God-Perfection; Crucified God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_027,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,26
Our Students,"Typescript of an article beginning with Robinson's report that he hired someone to do a study of those who believe in Psychiana, which he says are in the 'high intelligence brackets.' He then asserts that fields of study like science are growing, along with the 'Science of God.'","Robinson, Frank B.",1939-09-07,Science of God; Psychiana Students; Science and Technology,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,27
God in Action,"Typescript of an article begins by reporting that many are finding the Power of the Spirit of God. Robinson reports data related to the growth of Psychiana, including member population and Headquarters expansion, and also quotes several testimonials from letters he has received.","Robinson, Frank B.",1939-09-14,Psychiana Headquarters; Testimonials; Psychiana Growth,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_029,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,28
Only Waiting,"Typescript of an article in which Robinson quotes a hymn about 'shadows' and reflects on the death of two friends, the illness of this daughter, and other current predicaments. He asserts that waiting is a virtue rather than rushing into something. He also discusses how and why the Spirit of God will take over if people only wait.","Robinson, Frank B.",1939-09-14,Florence Robertson; Organ; Spirit of God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_030,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,29
Active and Passive Religion,"Typescript of an article in which Robinson divides current religions into 'active dynamic religions' and 'inactive, passive religions.' Robinson also discusses problems facing Americans, namely economic trouble, war, injustice, and his deportation.","Robinson, Frank B.",1939-03-29,Deportation; Automotive Industry Crisis; World War,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,30
How Foolish,"Typescript of an article beginning with a discussion of the enormity of the order and power of the cosmos, using a light year as an example. Robinson goes on to criticize the absurdity of this power being packed into a 'virgin-born piece of flesh.'","Robinson, Frank B.",1939-04-01,Cosmos; God-Power; Jesus Christ,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,31
What's Ahead,Typescript of an article prompted by a book entitled A Candle in the Dark by a philosopher. Robinson claims that 'no philosopher can intelligently write about present world conditions' because the world needs more than philosophy. He also discusses the ineffectiveness of the Church to make a change.,"Robinson, Frank B.",1939-09-28,Philosophy; Church in Decline; Christianity; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_031,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,32
Just Thoughts,"Typescript of an article. Though dated 10-29-1939, Robinson states he is writing on Christmas Eve of the same year. Robinson reflects on the growth, challenges, and experiences he has had with Psychiana over the past decade. He also reflects briefly on current events.","Robinson, Frank B.",1939-10-29,Deportation; Psychiana Growth; World War; Robinson Family,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_034,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,33
Quiet Talks With God - Proving God Lives in You,"Quiet Talks With God included a series of 101 newspaper columns written by Frank B. Robinson to communicate teachings of Psychiana. Column 4,'Proving God Lives in You,' discusses the miracle of birth and the fact that some Power takes over once a fetus is conceived. Robinson equates this to the power of nature and, therefore, God. This article is edited into columns on glossy paper with corrections in pencil.","Robinson, Frank B.",1941,Psychiana Teachings; God-Power,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_b5_f19_001d,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,34
The World Chaos,Typescript of an article in which Robinson reports on the gruesome and dire nature of World War II. He claims that Psychiana is the only organization on earth equipped to enter the world at this stage of violence when theology and religion are ill-equipped.,"Robinson, Frank B.",1939-10-12,World War; Pope; Church in Decline; Criticizing Orthodox Reilgions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_035,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,35
Abiding,"Typescript of an article in which Robinson begins with a hymnal quote and the word 'abides,' which he defines as 'to live with' and points out in biblical passages. Robinson discusses his claim that the Spirit of God lives in people, and people in biblical times were not ready to receive this information through the bad filter of religion, as opposed to knowledge, which he claims to bestow. [1 of 49 lead articles written for publication in Psychiana Weekly]","Robinson, Frank B.",1939-10-19,God on Earth; Spirit of God; Criticizing Orthodox Religions,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_036,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,36
A Thief in the Night,"Typescript of an article in which Robinson uses a quote from the Book of Revelation, 'God is coming like a thief in the night,' to discuss Psychiana's central teaching that God already lives on earth among us, and that peace is possible because Psychiana is revealing to people that God is already on earth from its center in Moscow, Idaho. [1st of 49 lead articles apparently written for publication in Psychiana Weekly.]","Robinson, Frank B.",1939-10-26,"God on Earth; Revelation; Psychiana Growth; Moscow, Idaho; Great Day of God","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_037,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,37
What Right?,Typescript of an article in which Robinson responds to the claim that he has no right to challenge the story of Christ. Robinson argues that any man has just as much right as the next to teach what he wants. He also discusses his claim that orthodox religion has done nothing to end war or to convince people of any truth behind its teaching and doctrine.,"Robinson, Frank B.",1939-10-26,Freedom of Religion; Criticizing Orthodox Reilgions; World War,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_038,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,38
What Are We Doing?,"Typescript of an article in which Robinson responds to criticism from Rev. Billy Sunday, who asks of Psychiana 'for God's sake what are you doing out there?' Robinson uses this opportunity to restate the mission and teachings of Psychiana, including definitions for the 'The Spirit of God,' 'The Realm of the Spirit of God,' and 'God-Power.'","Robinson, Frank B.",1939-11-02,Psychiana Criticism; Billy Sunday; Spirit of God; God-Power; Realm of the Spirit of God,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_039,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,39
What the Awakening is Doing,"Typescript of an article beginning with a list of gods throughout history from a variety of monotheistic and polytheistic religions, revealing similarities between them. Robinson claims Psychiana is revealing the Truth to people who used to believe in these false, deceptive religions. He uses testimonials from students. Robinson also makes the claim that all religions must give up these idols.","Robinson, Frank B.",1939-11-01,Criticizing Orthodox Reilgions; Deities; Paganism; Idolatry; Testimonials,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",MG101_B5_F40_040,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",Text,application/pdf,40
