title,creator,date,location,lat-long,subject,description,collection,series,related-dataset,contributors,publisher,contributing-institution,language,iwrri-number,resource-identifier,rights,rights-standardized,format,type,date-digital,digitization-specifications,metadata-cataloger,filename,cdm-number
Relationship of pumping lift to economic use of groundwater for irrigation. Idaho agricultural research progress report no. 130,"Cheline, Richard; Haynes, Robert",1967,,,groundwater irrigation; irrigation water,"This report deals with the first phase of an economic study conducted on the Upper Snake River Basin. The objective of this phase is to determine the optimum economic combination of the scarce resources available with respect to the price the farmers can afford to pay for pumped irrigation water from a ground water source.   The research upon which this report is based was supported by the Idaho State Reclamation Department. The project is continuing with support from the Idaho Reclamation Department and the United States Department of the Interior as authorized under the Water Resources Act of 1964, Public Law 88-379.   The project is sponsored by the Water Resources Research Institute, University of Idaho, Moscow, Idaho.",,Idaho agricultural research progress report,,Idaho Water Resources Research Institute; IWRRI,"Agricultural Experiment Station, University of Idaho, College of Agriculture",University of Idaho,eng,196806,iwdl-196806,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-02-07,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 519,897 bytes",Jodi Haire,,49
"Microclimatic profile between the Snake River Canyon and Clearwater Mountains, Idaho; Daily temperature and relative humidity records, weekly precipitation records, 1963-1968; U. of I. Water Resources Research Institute project no. M-2 (HH)","Day, Richard L.",1969,,,temperature; relative humidity; precipitation,"This document contains data charts and records for temperature, relative humidity and precipitation for various locations in Idaho and Washington, 1963 - 1968.",,,,Idaho Water Resources Research Institute; IWRRI,"Water Resources Research Institute, University of Idaho",University of Idaho,eng,196807supp,iwdl-196807supp,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-18,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 PDFScanLib v1.2.2, Archival Master file is a TIFF; 6,345,860 bytes",Jodi Haire,,50
"Microclimatic profile between the Snake River Canyon and Clearwater Mountains, Idaho; Progress report, project no. M-2 (HH)","Day, Richard L.",1966-07,,,temperature; relative humidity; precipitation; microclimate,"Document consists of miscellaneous reports pertaining to Project A-010-IDA, aka A-012-IDA, Project no. M-2 (HH). Progress Report July 1966, Research Completion Technical Report, July 1965 to July 1968; expenditures reports; quarterly reports; data charts; Report on progress and findings during fiscal year 1966-67; College of Mines.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196807miscfiles,iwdl-196807miscfiles,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-10-16,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 PDFScanLib v1.2.2, Archival Master file is a TIFF; 1,856,018 bytes",Jodi Haire,,51
Studies on methods of soil water determination; Project E-12: Progress to 31 December 1966,"Hagen, Jack I.",1966-12-31,,,soil water; groundwater,"This project consists of a study of various possible methods of measuring the flow, quantity, and state of ground water. Several new approaches to the problem are being examined with the specific goal of developing a practical instrument. In particular, it is desired to produce an instrument which can fit into the hydrologic telemetering system also under development at this institution. Low power requirements, and minimum complexity together with a high degree of reliability are evidently quite important particularly in this latter application.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196808PR,iwdl-196808pr,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-02-21,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 PDFScanLib v1.2.2, Archival Master file is a TIFF; 129,337 bytes",Jodi Haire,,53
"Hydrogeology of some small ground-water basins in Idaho; Research project technical termination report, project A-020-IDA","Jones, Robert W.",1968-02,Snake River,"42.41, -113.57",artesian basins; groundwater; Cassia County; geohydrology,"One basin has been studied (Albion basin, Cassia County, Idaho) and the results published as an open file report by the Idaho Bureau of Mines and Geology. Aquifers were delineated, water-table mapped, and preliminary evaluation of the ground-water flow pattern was obtained. Wells range in depth from 11 feet to 700 feet and yields range up 540 gpm. Clay lenses in alluvium create local artesian aquifers. The water can be classified as calcium bicarbonate type and is suitable for domestic and irrigation use. The total dissolved solids content range from 202 ppm to 2294 ppm. Hot springs exist in the Marsh Canyon area. The study should serve as a basis for further investigations utilizing experimental approaches.   The project has been terminated after just one basin investigation because the principal investigator decided to do research in an area other than water resources.",Boise Basin,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,"Water Resources Research Institute, University of Idaho",University of Idaho,eng,196811,iwdl-196811,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-02-21,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 281,475 bytes",Jodi Haire,,54
A limnological comparison of two small Idaho reservoirs,"Miller, Gary Wayne",1968-02,,"42.21, -112.26; 42.21, -112.17",limnology; reservoirs; Malad City,"Some limnological aspects of two small southeastern Idaho reservoirs were studied for one year. The reservoirs selected were Deep Creek Reservoir and Crowthers Reservoir, both located near Malad, Idaho.  The study involved a comparison of the two reservoirs as to their chemical and physical features, standing crop of net zooplankton, and the primary production rates of nanoplankton using Carbon-14 isotope.  A well defined thermocline did not form in either reservoir. Annual heat budgets of 15,233 and 15,544 cal/cm2 respectively were found for Deep Creek and Crowthers Reservoirs.  Dissolved oxygen remained relatively high in both reservoirs except on the bottom where concentrations dropped to two ppm during the summer. Total alkalinity was relatively high in both reservoirs (140-170 ppm in Deep Creek Reservoir and 175-650 ppm in Crowthers Reservoir).  Both reservoirs were alkaline with the pH ranging from 7.5 to 8.9.  The mean primary production rates of nanoplankton using Carbon-14 were 9.9 mg C/m3/ hr for Crowthers Reservoir and 6.7 mg C/m3/hr for Deep Creek Reservoir.  Standing crop of Cladocera for the year averaged 18.7 per liter in Deep Creek Reservoir compared to 11.7 per liter in Crowthers Reservoir. Copepoda standing crop averaged 70 per liter in Deep Creek Reservoir compared t o 36 per liter in Crowthers Reservoir.  Rotifera averaged 34 per liter in Deep Creek Reservoir compared to 4 per liter in Crowthers Reservoir.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196814,iwdl-196814,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-25,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF; 1,329,713 bytes",Jodi Haire,,55
"Limnological studies of lentic waters in Idaho: a comparison of crustacean populations and sampling techniques in four mountain lakes of Idaho. Research technical completion report, project A-018-IDA","Rabe, Fred W.; Wissmar, R. C.",1968-09,,"46.85, -115.49",limnology; crustaceans; lentic environment,Standing crop of microcrustaceans were compared in four mountain lakes in northeast Idaho. Results over two summers indicated that the lower meadow lakes had higher densities of crustaceans than the headwall lakes. These findings were based on vertical plankton hauls. Four different field methods of collection together with various sample sizes were also compared. Reliability of data was possibly affected by small sample sizes and avoidance behavior of the crustaceans to the samplers. The four lakes had a similar species composition and low density of crustaceans. Fisher's coefficient of dispersion s2/x-bar was computed for all samples and used as a measure of horizontal dispersion. Mean total crustacean density and dispersion approximated taxa density and dispersion. Tables and graphs are included.,,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,"Water Resources Research Institute, University of Idaho",University of Idaho,eng,196817,iwdl-196817,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-02-28,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 547,692 bytes",Jodi Haire,,56
Investigation of the use of nuclear magnetic resonance to determine moisture content in soils,"Haraprasad, Nagalapur Sastry",1968-04,,,soil water; nuclear magnetic resonance,"Nuclear Magnetic Resonance absorption appears as an interesting and useful technique for the study of nuclear secrets. The major objective of this study was to investigate the application of Nuclear Magnetic Resonance to determine the moisture content in soils. The Nuclear Magnetic Resonance apparatus built appeared to function normally but gave rise to inconsistent results. However, studies of soil moisture determination was continued in the Varian A-60 process analyzer of the physical science department. Fundamental defects in N.M.R. as a method are discussed.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196809,iwdl-196809,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-04,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF; 4,586,064 bytes",Jodi Haire,,57
Studies on methods of soil moisture determination,"Hite, Howard Eugene",1968-04,,,soil water,"Though the need for instrumentation capable of determining soil moisture quickly and accurately has long been recognized, no dependable means suitable for automatic and remote soil moisture measurement has yet been developed. Presently, the only reliable method for measuring soil moisture is a time consuming process which requires human attention. Water is removed from a soil sample by heating, and the resultant weight loss is determined. Considerable work has been reported on a device which measures the electrical conductivity of a gypsum block imbedded in the soil. Water causes the electrical resistance of the block to decrease. These blocks are alleged to be unreliable under many field conditions. The work reported in this thesis was undertaken with the intent to develop a more reliable instrument for remote site operation. An extensive survey of the literature led to the selection of three fields of study: streaming potential, thermal conductivity and specific heat, and absorption of infrared radiation by moist soil.  Experimentation revealed that the factors controlling streaming potential were so diverse that isolation of soil moisture or moisture flow variables was not feasible in field applications.  An original thermal measuring device could be successfully and reliably used in certain ambient temperature ranges.  Certain wavelengths in the infrared spectrum are readily absorbed by moisture in the soil. A prototype instrument which utilizes this phenomenon was fabricated.",,,,Idaho Water Resources Research Institute; IWRRI,"Engineering Experiment Station, University of Idaho",University of Idaho,eng,196810,iwdl-196810,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-03-06,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 PDFScanLibv.1.2.2, Archival Master file is a TIFF; 3,394,628 bytes",Jodi Haire,,58
Horizontal dispersion and density of limnetic crustaceans in four sub-alpine lakes,"Wissmar, Robert Charles",1968-05,,"46.85, -115.49",Crustaceans,"Limnetic crustaceans from four subalpine lakes in northeast Idaho were studied during the summers of 1966 and 1967. Four methods were used to take quantitative vertical plankton samples. These collections were used for comparison of lakes, comparison of sampling methods within lakes, and comparison of sample sizes.   The four lakes were similar in having a simple species composition and low density of limnetic crustaceans. For all samples Fisher's coefficient of dispersion S2/X-bar was computed and used as a measure of horizontal dispersion. Mean total crustacean density and dispersion appeared to approximate taxa density and dispersions. Data for all comparisons were based on the density and horizontal dispersion of mean total crustaceans.   The meadow lakes had higher densities of limnetic crustaceans than the headwall lakes, 1966 and 1967. There was an indication that a positive linear relationship existed between total crustacean density and coefficient of dispersion when sampled by different methods in each of the four lakes. Similarities of total crustacean density and dispersion estimates from different methods and sample sizes was attributed to the low density in limnetic regions. Reliability of data was possibly affected by small sample sizes and avoidance behavior of crustaceans to samplers.",,,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196821,iwdl-196821,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-03-27,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 17,219,336 bytes",Jodi Haire,,59
Relationship between farm size and ability to pay for irrigation water. Idaho agricultural research progress report no. 112,"Coffing, Arthur; Lindeborg, Karl H.",1966,Snake River,"43.46, -116.6",farms; water supply; irrigation,"This study was conducted in the Dry Lake area at Nampa, Idaho, where 5 or 6 companies are pumping irrigation water from the Snake River to a plateau 500 to 600 feet above the river surface. Irrigation development costs of bringing the water to the headgates of the farms are not included in this phase of the study.   Data was secured for 8 farms by interviewing each farm operator and land owner. To make comparisons between farms and also between enterprises, the data were broken down into per acre variable costs, fixed costs, total returns, net income and the cost of producing a dollar's worth of output. The term &quot;cost per dollar of output&quot; is the ratio of costs to returns. This ratio makes it possible to compare high-valued crops with low-valued crops on a per acre basis. This is a very sensitive measurement. For ex-ample, one cent change in the ratio for potato enterprise means a change in net income of $3.25 per acre.   The budgeting method of estimating water values in irrigation was used in this study. Long-run planning cost curves were estimated from the budgets by using simple curve linear regression. From the regression equations for each of the four enterprises (grain, sugar beets, potatoes and alfalfa seed), 12 model farms were constructed.   The long-run average total cost curve for the model farms, which incorporates a long-run rotation and long-run price and yield expectations, indicated economies of size up to a farm size of 2,400 acres.   Net income--the measurement of how much money is left over to pay for irrigation water after all expenses, including remuneration for management, land and investment, have been paid--varied from about $50 to $57 per acre for all model farms.",Boise Basin,Idaho agricultural research progress report,,Idaho Water Resources Research Institute; IWRRI,"Agricultural Experiment Station, University of Idaho, College of Agriculture",University of Idaho,eng,196602,iwdl-196602,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-17,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 1,785,426 bytes",jh,,60
"Geology and hydrogeology of the Albion Basin, Cassia County, Idaho","Myers, David Arthur",1967-05,Snake River,"42.41, -113.57",geology; geohydrology; Cassia County,"Albion basin is an alluvium-filled basin in eastern Cassia County, Idaho, about 18 miles southeast of Burley.   The study area is in the Basin and Range province of the western United States. The eastern boundary of the basin is formed by the Malta Range, a rotated fault block which apparently is bounded by high-angle normal faults on the east and west. A line of hot springs marks the probable position of the fault on the west side of the Malta Range. East Hills bounds the basin on the north and the main mass of Albion Range forms the south and west boundaries.  The Malta Range and part of the East Hills are made up of a thick flow of quartz latite. The flow consists of three zones: lower and upper vitrophyre zones, and a central lithoidal zone. No mineralogical differences and no physical breaks were noted between the zones. Capping the Malta Ridge in the north is a body of Snake River basalt about one square mile in area. The Albion Rage is underlain by metamorphic rocks.   Marsh Creek is the principal stream in the basin, but the ground water is the main source of irrigation and domestic water. Wells range in depth from 11 feet to more than 700 feet and yields range from a few gallons per minute to 540 gallons per minute. Wells must be cased the entire depth of penetration. Several clay lenses in the alluvium create local artesian aquifers. The water, mostly of the calcium-bicarbonate type, is suitable for domestic and irrigation use:  the total dissolved solids content ranges from 202 ppm. to 2294 ppm; temperatures of the waters in the deep wells are generally 62 degrees to 74 degrees Fahrenheit, and in the shallow wells, 57 degrees Fahrenheit. Hot springs in Marsh Canyon are used only for irrigation, although the possibility exists that they could be developed for domestic heating or for recreation.  Quantitative data on water resources could not be obtained from the present study, but available data suggest that the basin is not yet fully developed.",Boise Basin,Water for Idaho,,Idaho Water Resources Research Institute; IWRRI,University of Idaho,University of Idaho,eng,196704,iwdl-196704,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-09-18,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.1 Paper capture plug-in, Archival Master file is a TIFF; 2,880,954 bytes",Jodi Haire,,61
Some legal problems concerning ground water management,"Walenta, Thomas R.",1967-11-06,,,groundwater; groundwater management; water quality,"A talk to be given by Dr. Thomas R. Walenta, Bovay Engineers, and Report Consultant to the Puget Sound Task Force at a Ground Water Symposium presented by the American Water Resources Association in San Francisco on November 6, 1967.  Topics include:  The need to classify all ground waters as public waters and subject to the regulation and control of the state.  Problems associated with the determination of critical ground water areas.  Should the prior appropriator of ground water be protected in his means of extracting ground water from a basin or aquifer.  The artificial recharge of ground water areas, and their use for storage purposes.  The control and abatement of ground water pollution - the need for water quality programs.  Cooperation between state and federal agencies in development of all our water resources - a new form of creative federalism.  A-010-IDA",,,,Idaho Water Resources Research Institute; IWRRI,,University of Idaho,eng,196706,iwdl-196706,Rights to the digital resource are held by the University of Idaho. http://www.uidaho.edu/,,application/pdf,Text,2008-01-25,"300 ppi, Fujitsu fi-5750C image scanner, Adobe Acrobat 7.08 Paper capture plug-in, Archival Master file is a TIFF; 1,039,095 bytes",Jodi Haire,,62
