title,subject,photographer,date,date_is_approximate,description,subject_lctgm,location_old,location,source,digital_collection,holding_institution,format_original,format,type,identifier,datedigital,language,website,rights,rightsstatement,digitalspecifications,filename,oclcnumber,datecreated,datemodified,referenceurl,cdmid,contentdmfilename,contentdmfilepath,objectid
Security,barnboard;wood (plant material);locks (securing devices),"Higgins, Robert, E.",1988-05-10,,A solitary lock and chain is keeping this weathered wood gate shut. This image was entered into the Boise Camera Club competition and received a score of 23.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_019,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/10,10,19.jp2,/higgins/image/19.jp2,higgins10
Abandoned Home,abandoned dwellings;barnboard;siding (material);wood (plant material);bushes,"Higgins, Robert, E.",1996-06-02,,A close up view of an abandoned house received a score of 25 by the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_002,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/11,11,2.jp2,/higgins/image/2.jp2,higgins11
Fongs,Chinese (culture or style);restaurants;urban areas,"Higgins, Robert, E.",1984-02-14,,"This close up view of Fongs building in Old China Town, Boise, Idaho received a score of 39 by the Columbia Council of Camera Clubs.",Photographic prints,United States--Idaho,"Boise, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_020,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/12,12,20.jp2,/higgins/image/20.jp2,higgins12
Pioneer,abandoned buildings;barnboard;siding (material);wood (plant material);fences (site elements),"Higgins, Robert, E.",1989-11-14,,"A lonely, abandoned building behind a dilapidated fence received a score of 21 from the Boise Camera Club competition.",Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_021,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/13,13,21.jp2,/higgins/image/21.jp2,higgins13
Sagging Screen,abandoned buildings;barnboard;siding (material);wood (plant material);screen window;deterioration,"Higgins, Robert, E.",1990-02-13,,Sagging screen hanging off a window of an abandoned building received a score of 22 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_022,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/14,14,22.jp2,/higgins/image/22.jp2,higgins14
Boise Ridge Survivor,trees;moons,"Higgins, Robert, E.",1996-10-01,,A solitary tree reaches for the moon. This image received a score of 23 from the Boise Camera Club and received a score of 38 from the Columbia Council of Camera Clubs.,Photographic prints,United States--Idaho,"Boise, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_023,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/15,15,23.jp2,/higgins/image/23.jp2,higgins15
In Sands of Time,dunes;sand areas;footprints (foot impressions),"Higgins, Robert, E.",1989-12-12,,Lonely footprints through the sand received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_025,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/16,16,24.jp2,/higgins/image/24.jp2,higgins16
Cart Hub,wheels (components);wood (plant material),"Higgins, Robert, E.",1993-05-01,,The wooden hub on the wheel of a cart received a score of 22 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_024,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/17,17,25.jp2,/higgins/image/25.jp2,higgins17
Blue Lake,lakes (bodies of water);hills;trees,"Higgins, Robert, E.",1997-12-01,,"Receiving a score of 23 by the Boise Camera Club, this image shows an idyllic lake surrounded by hills and trees.",Photographic prints,United States--Idaho,"Cascade, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpg,Image;StillImage,higgins_026,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/18,18,26.jp2,/higgins/image/26.jp2,higgins18
Old Thresher,wheels (components);threshers,"Higgins, Robert, E.",1992-11-01,,Contrasting shapes and values highlight wheels on an old thresher. This image received a score of 23 from the Boise Camera Club and was also entered into the Columbia Council of Camera Clubs where it received a score of 43.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_027,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/19,19,27.jp2,/higgins/image/27.jp2,higgins19
Curves and Lines,agricultural equipment,"Higgins, Robert, E.",1992-11-01,,This close up of farming equipment received a score of 20 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_028,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/20,20,28.jp2,/higgins/image/28.jp2,higgins20
Lamoille Gate,barbed wire fence,"Higgins, Robert, E.",1987-12-01,,This close up of a barbed wire fence received a score of 23 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_029,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/21,21,29.jp2,/higgins/image/29.jp2,higgins21
Winter at Cabarton,winter;rural areas;barns;rail fences,"Higgins, Robert, E.",1982-02-09,,A snowy road leading to an isolated barn. This image was entered into the Boise Camera Club competition and received a score of 27.,Photographic prints,United States--Idaho,"Cabarton, Idaho","MA 2009-12, Box 2",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_003,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/22,22,3.jp2,/higgins/image/3.jp2,higgins22
Barbwire and Frost,barbed wire fence;frost,"Higgins, Robert, E.",1990,yes,Barbed wire covered in frost received a score of 5 at the Idaho International Photographic Exhibit.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_030,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/23,23,30.jp2,/higgins/image/30.jp2,higgins23
Bar Splinter,wood (plant material);locks (securing devices);barnwood,"Higgins, Robert, E.",1982-07-14,,A wooden spike serves as a lock in this image that was entered into the Boise Camera Club competition and received a score of 24.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_031,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/24,24,31.jp2,/higgins/image/31.jp2,higgins24
Barn Latch,wood (plant material);barn-door latches;barnwood,"Higgins, Robert, E.",1992-10-01,,A close up of a barn door latch received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_032,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/25,25,32.jp2,/higgins/image/32.jp2,higgins25
Horseshoe Bend,railroad stations;rails (transit system elements);hills,"Higgins, Robert, E.",1990,yes,Railroad tracks lead to an isolated station at Horseshoe Bend. This image was entered into the International Club Print Competition and received a score of 18.,Photographic prints,United States--Idaho,"Horseshoe Bend, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_033,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/26,26,33.jp2,/higgins/image/33.jp2,higgins26
Swan Falls,lakes (bodies of water);hills;trees;floating buildings,"Higgins, Robert, E.",1994-03-01,,This image of floating trailers on a lake surrounded by hills and trees was entered into the Boise Camera Club and received a score of 23.,Photographic prints,United States--Idaho,"Swan Falls Dam, Idaho","MA 2009-12, Box 3",Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpg,Image;StillImage,higgins_034,2011-02-22,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the Robert E. Higgins. All copyright permissions are retained by the photographer. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/27,27,34.jp2,/higgins/image/34.jp2,higgins27
